Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
ELEC,Travis Park United Methodist Church,230 E Travis St,At the church parking lot on Travis Street,San Antonio,TX,78205,,210-226-8341,E,,Public,24 hours daily,,,,,2,,,,Non-Networked,,200-9,29.427254,-98.490136,2020-09-03,34829,2021-03-11 23:22:17 UTC,P,,,2009-07-15,,,,,NEMA520,US,,,,Public,,public,,,PLACE_OF_WORSHIP,,,,,,,Free,,,,,,,,,,
ELEC,BROOKFIELD PROP 300 CLAY STAT1,300 Clay St,,Houston,TX,77002,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,29.756604,-95.372854,2021-10-05,36378,2021-10-05 00:27:29 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,Clay Cooley Nissan,4914 S IH-35,,Austin,TX,78745,,512-444-1400,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,30.206145,-97.759109,2020-06-09,39114,2021-03-11 23:22:17 UTC,P,,,2011-01-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,McGavock Nissan - Abilene,818 E Overland Trail,,Abilene,TX,79606,,325-695-2970,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,32.408909,-99.771463,2020-06-09,39708,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,McGavock Nissan - Amarillo,4700 S Soncy Rd,,Amarillo,TX,79119,,806-354-3550,E,,Public,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,35.159354,-101.938937,2020-06-09,39709,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Don Davis Nissan,1320 E Interstate 20,,Arlington,TX,76018,,817-588-5475,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,32.676458,-97.087169,2020-06-09,39710,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Town North Nissan,9160A Research Blvd,,Austin,TX,78758,,512-451-7411,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,30.374542,-97.731445,2020-06-09,39711,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Baytown Nissan,5445 I-10 E,,Baytown,TX,77521,,281-421-7442,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,29.80725299717069,-94.97383364868773,2020-06-09,39712,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Mike Smith Nissan,1515 Interstate 10 S,,Beaumont,TX,77701,,409-833-7100,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,30.062535,-94.133511,2020-06-09,39713,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Grubbs Nissan,310 Airport Fwy,,Bedford,TX,76022,,817-268-1000,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,32.839339,-97.160994,2020-06-09,39714,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Douglass Nissan,1001 Earl Rudder Fwy S,,College Station,TX,77845,,979-764-7726,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,30.639201,-96.30671,2020-06-09,39715,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Ed Hicks Nissan,3000 S Padre Island Dr,,Corpus Christi,TX,78415,,361-854-1955,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,27.73082,-97.416019,2020-06-09,39717,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Clay Cooley Nissan,39690 Lyndon B Johnson Fwy,,Dallas,TX,75237,,972-709-2000,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,32.646784,-96.863492,2020-06-09,39718,2021-03-11 23:22:17 UTC,P,,,2010-12-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Classic Nissan,2010 US Highway 75 N,,Denison,TX,75020,,903-463-9800,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,33.775328,-96.58308,2020-06-09,39719,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Casa Nissan,5855 Montana Ave,,El Paso,TX,79925,,915-772-1488,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,31.783928,-106.417267,2020-06-09,39720,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Viva Nissan,1310 N Zaragoza Rd,,El Paso,TX,79936,,915-629-5500,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,31.724024,-106.302211,2020-06-09,39721,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Nissan of Fort Worth,3451 W Loop 820 S,,Fort Worth,TX,76116,,817-560-9000,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,32.721585,-97.478539,2020-06-09,39723,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Texas Nissan of Grapevine,1401 W State Highway 114,,Grapevine,TX,76051,,817-601-3600,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,32.928183,-97.09448,2020-06-09,39724,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Charlie Clark Nissan,3500 W Expressway 83,,Harlingen,TX,78552,,956-423-6975,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,26.186259,-97.734663,2020-06-09,39725,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Baker Nissan North,19630 Northwest Fwy,,Houston,TX,77065,,281-890-5656,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,29.913418,-95.611942,2020-06-09,39726,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Central Houston Nissan,2901 S Loop W,,Houston,TX,77054,,713-661-9955,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,29.676558,-95.422537,2020-06-09,39727,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
